"user_login","user_name","repo_name","pr_title","pr_state","efficiency_branch_age","efficiency_commit_frequency","efficiency_first_response_time","efficiency_merge_frequency","efficiency_cycle_time","efficiency_pr_dependencies","efficiency_pr_iterations","efficiency_pr_size","efficiency_review_response_time","efficiency_wip_management","quality_ai_impact","quality_code_patterns","quality_complexity_trends","quality_composite_score","quality_documentation","quality_maintainability_score","quality_pr_description","quality_review_thoroughness","quality_security_score","quality_test_quality","wellness_maintenance_trend","wellness_feature_work","wellness_communication_tone","wellness_break_patterns","wellness_context_switching","wellness_proactive_work_score","wellness_feedback_reception","wellness_work_type_balance","wellness_maintenance_work","wellness_collaboration_balance","wellness_work_hours_pattern","avg_efficiency_score","avg_quality_score","avg_wellness_score"
"buschtoens",,"cib","TPS-990 feat(manifest): add `!env` for local secrets","MERGED",99.9483495185129,95,100,75,90,100,100,94,100,100,70,70,70,70,70,70,70,70,70,70,60,44,50,75,100,75,100,76,0,83,62,95.7896699037025800,70.0000000000000000,65.9090909090909091
"buschtoens",,"cib","TPS-992 feat(jenkins): wait for deployments","MERGED",98.1566170676494,85,100,100,1,100,80,95,100,100,70,70,70,70,70,70,70,70,70,70,25,53,50,75,100,65,100,76,47,83,27,75.8313234135298800,70.0000000000000000,63.7272727272727273
"buschtoens",,"cib","TPS-993 fix(renderer): remove old `*.cib.*` files","MERGED",99.9734754526226,100,73,75,89,100,100,70,100,100,70,70,70,70,70,70,70,70,70,70,0,24,50,75,100,65,100,68,76,83,18,91.7946950905245200,70.0000000000000000,59.9090909090909091
"buschtoens",,"cib","TPS-994 fix(helm): shorten & sanitize port name","MERGED",99.9399732262091,100,100,100,90,100,100,100,100,100,70,70,70,70,70,70,70,70,70,70,10,0,50,75,100,75,100,75,61,100,27,97.9879946452418200,70.0000000000000000,61.1818181818181818
"buschtoens",,"cib","TPS-995 fix(helm): unique port names","MERGED",99.9802886693263,85,100,72,90,100,75,51,100,100,50,92.4141819978756,81.7574476193644,75,73.1058578630005,88.0797077977882,26.8941421369995,81.7574476193644,88.0797077977882,90,100,0,50,75,100,75,100,76,53,75,100,85.1960577338652600,76.5886026560306200,73.0909090909090909
"buschtoens",,"cib","TPS-996 feat(compose): add configurable `CIB_PORT`","MERGED",99.9776548332548,85,73,75,91,100,75,90,100,100,73.1058578630005,81.7574476193644,92.4141819978756,66,62.2459331201855,73.1058578630005,26.8941421369995,73.1058578630005,88.0797077977882,26.8941421369995,100,53,50,75,100,65,100,76,47,83,100,93.1955309666509600,64.6862997561948400,77.1818181818181818
"buschtoens",,"cib","TPS-997 fix(compose): quote environment vars, use object syntax","MERGED",99.9604878512024,100,73,98,90,100,100,93,100,100,50,92.4141819978756,81.7574476193644,73,73.1058578630005,88.0797077977882,26.8941421369995,81.7574476193644,88.0797077977882,73.1058578630005,100,0,50,75,100,65,100,53,100,90,99,96.5920975702404800,73.2097742286307200,75.6363636363636364
"buschtoens",,"hivemindz","refactor: fix issues in `app.cib.yaml`","MERGED",99.9532699559691,70,73,75,82,100,100,59,100,100,70,70,70,70,70,70,70,70,70,70,60,0,50,75,100,75,100,76,56,67,2,82.1906539911938200,70.0000000000000000,60.0909090909090909
"buschtoens",,"toneshift","fix: add `role-arn` annotation to service account","MERGED",99.9765262419285,85,100,75,89,100,80,95,100,100,81.7574476193644,88.0797077977882,90,72,73.1058578630005,92.4141819978756,50,50,92.4141819978756,26.8941421369995,100,36,50,75,100,65,100,74,64,75,62,93.7953052483857000,64.8343259234480000,72.8181818181818182
"kirannandarapalli",,"hivemindz","Adding a welcome message and delete icon","MERGED",97.1803574306621,95,100,75,0,100,100,64,80,100,70,70,70,70,70,70,70,70,70,70,50,100,50,75,100,65,100,53,0,94,73,67.2360714861324200,70.0000000000000000,69.0909090909090909
"kirannandarapalli",,"hivemindz","Move the new chat button to top","MERGED",99.945348312731,80,100,75,90,100,75,89,100,100,70,70,70,70,70,70,70,70,70,70,50,100,50,75,100,65,100,53,0,70,27,91.7890696625462000,70.0000000000000000,62.7272727272727273
"kirannandarapalli",,"hivemindz","Remove Language Selector","MERGED",99.7965826785039,100,100,75,87,100,75,95,100,100,70,70,70,70,70,70,70,70,70,70,50,0,50,75,100,65,100,100,0,100,100,96.3593165357007800,70.0000000000000000,67.2727272727272727
"litturahul",,"toneshift","Improving UI","MERGED",99.7886923326084,95,75,75,67,100,75,41,100,100,70,70,70,70,70,70,70,70,70,70,50,100,75,75,100,65,80,53,0,50,92,80.5577384665216800,70.0000000000000000,67.2727272727272727
"srih4ri",,"devji","Rename cib proj","MERGED",99.9671258736211,100,100,100,89,100,75,88,100,100,73.1058578630005,92.4141819978756,81.7574476193644,70,73.1058578630005,85.8148935099512,26.8941421369995,62.2459331201855,88.0797077977882,50,100,0,50,75,100,65,100,100,0,100,100,95.3934251747242200,69.3074713287949400,71.8181818181818182
"srih4ri",,"devji","Update Dockerfile to run fast-api with CIB","MERGED",99.9831740802207,100,75,75,90,100,75,95,100,100,50,81.7574476193644,90,62,50,88.0797077977882,11.9202922022117,73.1058578630005,88.0797077977882,26.8941421369995,50,0,75,75,100,75,80,76,47,50,100,96.9966348160441400,57.6159415595576400,66.1818181818181818
"th-lange",,"insure-gpt","Backend-V2","MERGED",99.9966327293544,75,75,75,91,100,75,67,100,100,73.1058578630005,73.1058578630005,81.7574476193644,56,37.7540668798145,76.8524783499018,11.9202922022117,62.2459331201855,62.2459331201855,26.8941421369995,50,0,75,75,100,60,80,100,0,50,62,86.5993265458708800,52.4491866240371000,59.2727272727272727
"vpk-clark",,"devji","Add spinner","MERGED",99.9959376269066,85,100,75,91,100,75,92,100,100,70,70,70,70,70,70,70,70,70,70,50,100,50,75,100,65,100,53,0,83,100,93.5991875253813200,70.0000000000000000,70.5454545454545455
"vpk-clark",,"devji","add: rag indexing service","MERGED",99.9992101412807,75,75,100,91,100,65,0,100,100,50,88.0797077977882,92.4141819978756,64,62.2459331201855,85.8148935099512,11.9202922022117,73.1058578630005,81.7574476193644,26.8941421369995,50,100,75,75,100,60,80,53,0,50,100,73.1998420282561400,58.8006761479099800,67.5454545454545455
"vpk-clark",,"devji","add: rag retrieve","MERGED",99.9949746066922,85,75,100,91,100,75,88,100,100,73.1058578630005,81.7574476193644,73.1058578630005,70,62.2459331201855,88.0797077977882,26.8941421369995,81.7574476193644,92.4141819978756,50,50,100,75,75,100,65,80,53,0,50,100,92.7989949213384400,71.9046841200852000,68.0000000000000000
